"LOCATION","Country","VARIABLE","Variable","EDITION","Edition","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GRC","Greece","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_1","EO107_1 Single-hit scenario","A","Annual","2005","2005","PC","Percentage","0","Units","2010","2010",0.205934635445361,,
"GRC","Greece","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_1","EO107_1 Single-hit scenario","A","Annual","2006","2006","PC","Percentage","0","Units","2010","2010",1.23891598429742,,
"GRC","Greece","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_1","EO107_1 Single-hit scenario","A","Annual","2007","2007","PC","Percentage","0","Units","2010","2010",-1.5320222135046,,
"GRC","Greece","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_1","EO107_1 Single-hit scenario","A","Annual","2008","2008","PC","Percentage","0","Units","2010","2010",-0.628777530139658,,
"GRC","Greece","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_1","EO107_1 Single-hit scenario","A","Annual","2009","2009","PC","Percentage","0","Units","2010","2010",-3.27177394712167,,
"GRC","Greece","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_1","EO107_1 Single-hit scenario","A","Annual","2010","2010","PC","Percentage","0","Units","2010","2010",2.04715971826809,,
"GRC","Greece","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_1","EO107_1 Single-hit scenario","A","Annual","2011","2011","PC","Percentage","0","Units","2010","2010",-0.12085850709419,,
"GRC","Greece","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_1","EO107_1 Single-hit scenario","A","Annual","2012","2012","PC","Percentage","0","Units","2010","2010",-0.0449831218152952,,
"GRC","Greece","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_1","EO107_1 Single-hit scenario","A","Annual","2013","2013","PC","Percentage","0","Units","2010","2010",-0.205455033490931,,
"GRC","Greece","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_1","EO107_1 Single-hit scenario","A","Annual","2014","2014","PC","Percentage","0","Units","2010","2010",1.33995717707337,,
"GRC","Greece","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_1","EO107_1 Single-hit scenario","A","Annual","2015","2015","PC","Percentage","0","Units","2010","2010",-1.56579709085606,,
"GRC","Greece","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_1","EO107_1 Single-hit scenario","A","Annual","2016","2016","PC","Percentage","0","Units","2010","2010",0.0727151813661864,,
"GRC","Greece","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_1","EO107_1 Single-hit scenario","A","Annual","2017","2017","PC","Percentage","0","Units","2010","2010",0.0474148820688677,,
"GRC","Greece","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_1","EO107_1 Single-hit scenario","A","Annual","2018","2018","PC","Percentage","0","Units","2010","2010",1.79761377399061,,
"GRC","Greece","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_1","EO107_1 Single-hit scenario","A","Annual","2019","2019","PC","Percentage","0","Units","2010","2010",-0.397679576011195,,
"GRC","Greece","CQ_ISKV","Change in inventories, contributions to changes in real GDP","EO107_1","EO107_1 Single-hit scenario","A","Annual","2020","2020","PC","Percentage","0","Units","2010","2010",-1.29932466472255,,
"GRC","Greece","IRL","Long-term interest rate on government bonds","EO107_1","EO107_1 Single-hit scenario","A","Annual","2005","2005","PC","Percentage","0","Units",,,3.585,,
"GRC","Greece","IRL","Long-term interest rate on government bonds","EO107_1","EO107_1 Single-hit scenario","A","Annual","2006","2006","PC","Percentage","0","Units",,,4.07,,
