"COU","Country","IND","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ITA","Italy","HPI","Nominal house price indices, s.a.","2005","2005","IDX","Index","0","Units",,,108.225783495829,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2005-Q1","Q1-2005","IDX","Index","0","Units",,,105.65575867032,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2005-Q2","Q2-2005","IDX","Index","0","Units",,,107.343303233285,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2005-Q3","Q3-2005","IDX","Index","0","Units",,,108.97361907687,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2005-Q4","Q4-2005","IDX","Index","0","Units",,,110.93045300284,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2006","2006","IDX","Index","0","Units",,,115.191197105237,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2006-Q1","Q1-2006","IDX","Index","0","Units",,,112.839693373986,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2006-Q2","Q2-2006","IDX","Index","0","Units",,,114.419730288604,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2006-Q3","Q3-2006","IDX","Index","0","Units",,,115.943920552164,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2006-Q4","Q4-2006","IDX","Index","0","Units",,,117.561444206194,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2007","2007","IDX","Index","0","Units",,,121.130252286662,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2007-Q1","Q1-2007","IDX","Index","0","Units",,,119.171843767581,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2007-Q2","Q2-2007","IDX","Index","0","Units",,,120.481647840942,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2007-Q3","Q3-2007","IDX","Index","0","Units",,,121.781596762545,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2007-Q4","Q4-2007","IDX","Index","0","Units",,,123.08592077558,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2008","2008","IDX","Index","0","Units",,,123.17709920595,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2008-Q1","Q1-2008","IDX","Index","0","Units",,,124.434876386903,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2008-Q2","Q2-2008","IDX","Index","0","Units",,,123.659835104483,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2008-Q3","Q3-2008","IDX","Index","0","Units",,,122.991561906904,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2008-Q4","Q4-2008","IDX","Index","0","Units",,,121.622123425511,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2009","2009","IDX","Index","0","Units",,,118.646535330184,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2009-Q1","Q1-2009","IDX","Index","0","Units",,,120.29333249142,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2009-Q2","Q2-2009","IDX","Index","0","Units",,,118.966013914335,,
"ITA","Italy","HPI","Nominal house price indices, s.a.","2009-Q3","Q3-2009","IDX","Index","0","Units",,,117.876312181171,,
