"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"GRC","Greece","T","Total","TOTAL","Total","2005","2005",10987316,,
"GRC","Greece","T","Total","TOTAL","Total","2006","2006",11020366,,
"GRC","Greece","T","Total","TOTAL","Total","2007","2007",11048466,,
"GRC","Greece","T","Total","TOTAL","Total","2008","2008",11077839,,
"GRC","Greece","T","Total","TOTAL","Total","2009","2009",11107017,,
"GRC","Greece","T","Total","TOTAL","Total","2010","2010",11121344,,
"GRC","Greece","T","Total","TOTAL","Total","2011","2011",11104900,,
"GRC","Greece","T","Total","TOTAL","Total","2012","2012",11045010,,
"GRC","Greece","T","Total","TOTAL","Total","2013","2013",10965209,,
"GRC","Greece","T","Total","TOTAL","Total","2014","2014",10892415,,
"GRC","Greece","T","Total","TOTAL","Total","2015","2015",10820883,,
"GRC","Greece","T","Total","TOTAL","Total","2016","2016",10775971,,
"GRC","Greece","T","Total","TOTAL","Total","2017","2017",10754679,,
"GRC","Greece","T","Total","TOTAL","Total","2018","2018",10725886,,
"ITA","Italy","T","Total","TOTAL","Total","2005","2005",57969482,,
"ITA","Italy","T","Total","TOTAL","Total","2006","2006",58143980,,
"ITA","Italy","T","Total","TOTAL","Total","2007","2007",58438309,,
"ITA","Italy","T","Total","TOTAL","Total","2008","2008",58826733,,
"ITA","Italy","T","Total","TOTAL","Total","2009","2009",59095367,,
"ITA","Italy","T","Total","TOTAL","Total","2010","2010",59277414,,
"ITA","Italy","T","Total","TOTAL","Total","2011","2011",59379446,,
"ITA","Italy","T","Total","TOTAL","Total","2012","2012",59539725,,
"ITA","Italy","T","Total","TOTAL","Total","2013","2013",60233944,,
"ITA","Italy","T","Total","TOTAL","Total","2014","2014",60789144,,
"ITA","Italy","T","Total","TOTAL","Total","2015","2015",60730585,,
"ITA","Italy","T","Total","TOTAL","Total","2016","2016",60627494,,
"ITA","Italy","T","Total","TOTAL","Total","2017","2017",60536713,,
"ITA","Italy","T","Total","TOTAL","Total","2018","2018",60421797,,
"PRT","Portugal","T","Total","TOTAL","Total","2005","2005",10503330,,
"PRT","Portugal","T","Total","TOTAL","Total","2006","2006",10522288,,
"PRT","Portugal","T","Total","TOTAL","Total","2007","2007",10542964,,
"PRT","Portugal","T","Total","TOTAL","Total","2008","2008",10558177,,
"PRT","Portugal","T","Total","TOTAL","Total","2009","2009",10568247,,
"PRT","Portugal","T","Total","TOTAL","Total","2010","2010",10573100,,
"PRT","Portugal","T","Total","TOTAL","Total","2011","2011",10557560,,
"PRT","Portugal","T","Total","TOTAL","Total","2012","2012",10514844,,
"PRT","Portugal","T","Total","TOTAL","Total","2013","2013",10457295,,
"PRT","Portugal","T","Total","TOTAL","Total","2014","2014",10401062,,
"PRT","Portugal","T","Total","TOTAL","Total","2015","2015",10358076,,
"PRT","Portugal","T","Total","TOTAL","Total","2016","2016",10325452,,
"PRT","Portugal","T","Total","TOTAL","Total","2017","2017",10300300,,
"PRT","Portugal","T","Total","TOTAL","Total","2018","2018",10283822,,
"ESP","Spain","T","Total","TOTAL","Total","2005","2005",43662613,,
"ESP","Spain","T","Total","TOTAL","Total","2006","2006",44360521,,
"ESP","Spain","T","Total","TOTAL","Total","2007","2007",45236004,,
"ESP","Spain","T","Total","TOTAL","Total","2008","2008",45983169,,
"ESP","Spain","T","Total","TOTAL","Total","2009","2009",46367550,,
"ESP","Spain","T","Total","TOTAL","Total","2010","2010",46562483,,
"ESP","Spain","T","Total","TOTAL","Total","2011","2011",46736257,,
"ESP","Spain","T","Total","TOTAL","Total","2012","2012",46766403,,
"ESP","Spain","T","Total","TOTAL","Total","2013","2013",46593236,,
"ESP","Spain","T","Total","TOTAL","Total","2014","2014",46455123,,
"ESP","Spain","T","Total","TOTAL","Total","2015","2015",46410149,,
"ESP","Spain","T","Total","TOTAL","Total","2016","2016",46449874,,
"ESP","Spain","T","Total","TOTAL","Total","2017","2017",46532869,,
"ESP","Spain","T","Total","TOTAL","Total","2018","2018",46733038,,
"SVN","Slovenia","T","Total","TOTAL","Total","2005","2005",2001114,,
"SVN","Slovenia","T","Total","TOTAL","Total","2006","2006",2008516,,
"SVN","Slovenia","T","Total","TOTAL","Total","2007","2007",2019406,,
"SVN","Slovenia","T","Total","TOTAL","Total","2008","2008",2022629,,
"SVN","Slovenia","T","Total","TOTAL","Total","2009","2009",2042335,,
"SVN","Slovenia","T","Total","TOTAL","Total","2010","2010",2049261,,
"SVN","Slovenia","T","Total","TOTAL","Total","2011","2011",2052496,,
"SVN","Slovenia","T","Total","TOTAL","Total","2012","2012",2056262,,
"SVN","Slovenia","T","Total","TOTAL","Total","2013","2013",2059114,,
"SVN","Slovenia","T","Total","TOTAL","Total","2014","2014",2061623,,
"SVN","Slovenia","T","Total","TOTAL","Total","2015","2015",2063077,,
"SVN","Slovenia","T","Total","TOTAL","Total","2016","2016",2064241,,
"SVN","Slovenia","T","Total","TOTAL","Total","2017","2017",2066161,,
"SVN","Slovenia","T","Total","TOTAL","Total","2018","2018",2070050,,
"GRC","Greece","T","Total","LESS_20","Under 20","2005","2005",2283039,,
"GRC","Greece","T","Total","LESS_20","Under 20","2006","2006",2262029,,
"GRC","Greece","T","Total","LESS_20","Under 20","2007","2007",2245606,,
"GRC","Greece","T","Total","LESS_20","Under 20","2008","2008",2231852,,
"GRC","Greece","T","Total","LESS_20","Under 20","2009","2009",2219499,,
"GRC","Greece","T","Total","LESS_20","Under 20","2010","2010",2207055,,
"GRC","Greece","T","Total","LESS_20","Under 20","2011","2011",2191723,,
"GRC","Greece","T","Total","LESS_20","Under 20","2012","2012",2172715,,
"GRC","Greece","T","Total","LESS_20","Under 20","2013","2013",2152963,,
"GRC","Greece","T","Total","LESS_20","Under 20","2014","2014",2129845,,
"GRC","Greece","T","Total","LESS_20","Under 20","2015","2015",2103536,,
"GRC","Greece","T","Total","LESS_20","Under 20","2016","2016",2092102,,
"GRC","Greece","T","Total","LESS_20","Under 20","2017","2017",2090472,,
"GRC","Greece","T","Total","LESS_20","Under 20","2018","2018",2085292,,
"ITA","Italy","T","Total","LESS_20","Under 20","2005","2005",11036167,,
"ITA","Italy","T","Total","LESS_20","Under 20","2006","2006",11075222,,
"ITA","Italy","T","Total","LESS_20","Under 20","2007","2007",11137854,,
"ITA","Italy","T","Total","LESS_20","Under 20","2008","2008",11206693,,
"ITA","Italy","T","Total","LESS_20","Under 20","2009","2009",11245119,,
"ITA","Italy","T","Total","LESS_20","Under 20","2010","2010",11247248,,
"ITA","Italy","T","Total","LESS_20","Under 20","2011","2011",11206974,,
"ITA","Italy","T","Total","LESS_20","Under 20","2012","2012",11174122,,
"ITA","Italy","T","Total","LESS_20","Under 20","2013","2013",11241729,,
"ITA","Italy","T","Total","LESS_20","Under 20","2014","2014",11278861,,
"ITA","Italy","T","Total","LESS_20","Under 20","2015","2015",11205237,,
"ITA","Italy","T","Total","LESS_20","Under 20","2016","2016",11117396,,
"ITA","Italy","T","Total","LESS_20","Under 20","2017","2017",11024821,,
"ITA","Italy","T","Total","LESS_20","Under 20","2018","2018",10923776,,
"PRT","Portugal","T","Total","LESS_20","Under 20","2005","2005",2261483,,
"PRT","Portugal","T","Total","LESS_20","Under 20","2006","2006",2246401,,
"PRT","Portugal","T","Total","LESS_20","Under 20","2007","2007",2232037,,
"PRT","Portugal","T","Total","LESS_20","Under 20","2008","2008",2217440,,
"PRT","Portugal","T","Total","LESS_20","Under 20","2009","2009",2201039,,
"PRT","Portugal","T","Total","LESS_20","Under 20","2010","2010",2177284,,
"PRT","Portugal","T","Total","LESS_20","Under 20","2011","2011",2147054,,
"PRT","Portugal","T","Total","LESS_20","Under 20","2012","2012",2116599,,
"PRT","Portugal","T","Total","LESS_20","Under 20","2013","2013",2085366,,
"PRT","Portugal","T","Total","LESS_20","Under 20","2014","2014",2055969,,
"PRT","Portugal","T","Total","LESS_20","Under 20","2015","2015",2031905,,
"PRT","Portugal","T","Total","LESS_20","Under 20","2016","2016",2010888,,
"PRT","Portugal","T","Total","LESS_20","Under 20","2017","2017",1990194,,
